From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
6985;738;sea;1372;-1;-1;-1;-1;Penghu-Siraya
7162;8555;sea;1393;-1;-1;-1;-1;Orchid-Paiwan
7189;4356;sea;7887;-1;-1;-1;-1;Calamian-Taytay
7185;7189;sea;4357;-1;-1;-1;-1;Agutuya-Cuyo-Calamian
2699;8294;sea;1397;-1;-1;-1;-1;Bikol-Lawan
654;4353;sea;1397;-1;-1;-1;-1;Samar-Leyte
4352;8713;sea;1397;-1;-1;-1;-1;Cebu- Leyte
4354;8720;sea;1398;-1;-1;-1;-1;Zamboanga-Taguima
8721;651;sea;1398;-1;-1;-1;-1;Tawi Tawi-Sulu
651;8720;sea;1398;-1;-1;-1;-1;Sulu-Taguima
2686;8649;sea;1361;-1;-1;-1;-1;Bintan-Singapura
4815;8649;sea;1361;-1;-1;-1;-1;Johor-Singapura
8297;8714;sea;1397;-1;-1;-1;-1;Dagit-Subanen
4352;4353;sea;1397;-1;-1;-1;-1;Cebu-Leyte
2699;8716;sea;1397;-1;-1;-1;-1;Bikol-Masbate
8267;7161;sea;1393;-1;-1;-1;-1;Babuyan-Batanes
8267;658;sea;1393;-1;-1;-1;-1;Babuyan-Cagayan
8284;8280;sea;4358;-1;-1;-1;-1;Polillo-Kalilayan
8288;8286;sea;4358;-1;-1;-1;-1;Catanduanes-Iraya
8289;8280;sea;1397;-1;-1;-1;-1;Marinduque-Kalilayan
8283;4350;sea;7885;-1;-1;-1;-1;Batangas-Mindoro
8290;8712;sea;1397;-1;-1;-1;-1;Pinamalayan-Romblon
8712;8292;sea;1397;-1;-1;-1;-1;Romblon-Aklan
2700;8716;sea;1397;-1;-1;-1;-1;Panay-Masbate
2700;7184;sea;1397;-1;-1;-1;-1;Panay-Guimaras
7184;4351;sea;1397;-1;-1;-1;-1;Guimaras-Buglas
8297;4352;sea;1397;-1;-1;-1;-1;Dagit-Cebu
7182;8297;sea;1397;-1;-1;-1;-1;Siquijor-Dagit
7181;7167;sea;1397;-1;-1;-1;-1;Camiguin-Himologan
8296;8298;sea;1402;-1;-1;-1;-1;Mairete-Dinagat
8298;8299;sea;1402;-1;-1;-1;-1;Dinagat-Suligao
7160;8299;sea;1402;-1;-1;-1;-1;Siargao-Suligao
650;8544;sea;1400;-1;-1;-1;-1;Tidore-Weda
112;6930;sea;8342;-1;-1;-1;-1;Venezia-Murano
95;8112;sea;1269;-1;-1;-1;-1;Breda-Rotterdam
100;7954;sea;1279;-1;-1;-1;-1;Frisia-West Frisia
8164;3009;sea;1285;-1;-1;-1;-1;Wexford-Waterford
242;8138;sea;1284;-1;-1;-1;-1;Carnarvonshire-Anglesey
248;8150;sea;1280;-1;-1;-1;-1;Lothian-Fife
502;5581;sea;1522;-1;-1;-1;-1;Trinidad-Tobago
5582;500;sea;1522;-1;-1;-1;-1;Grenada-St Vincent
500;499;sea;1522;-1;-1;-1;-1;St Vincent-St Lucia
499;498;sea;1522;-1;-1;-1;-1;St Lucia-Martinique
498;497;sea;1523;-1;-1;-1;-1;Martinique-Dominica
497;496;sea;1523;-1;-1;-1;-1;Dominica-Guadelope
496;5583;sea;1523;-1;-1;-1;-1;Guadelope-Monserrat
5583;494;sea;1523;-1;-1;-1;-1;Monserrat-St Kitts
5583;495;sea;1523;-1;-1;-1;-1;Monserrat-Antigua & Barbuda
494;5586;sea;1523;-1;-1;-1;-1;St Kitts-St Martin
5586;5585;sea;1523;-1;-1;-1;-1;St Martin-St Barthelemy
5585;1881;sea;1523;-1;-1;-1;-1;St Barthelemy-Anguilla
1881;5586;sea;1523;-1;-1;-1;-1;Anguilla-St Martin
5584;493;sea;1526;-1;-1;-1;-1;St Croix-St Thomas
493;492;sea;1526;-1;-1;-1;-1;St Thomas-Puerto Rico
492;5584;sea;1526;-1;-1;-1;-1;Puerto Rico-St Croix
5576;5575;sea;1503;-1;-1;-1;-1;Acklins-Long Island
5575;5574;sea;1503;-1;-1;-1;-1;Long Island-Eleuthera
5574;482;sea;1503;-1;-1;-1;-1;Eleuthera-Bahama
5577;483;sea;1524;-1;-1;-1;-1;Inagua-Turks & Caicos
5577;5576;sea;1524;-1;-1;-1;-1;Inagua-Acklins
5578;2808;sea;1519;-1;-1;-1;-1;Aruba-Coro
491;2808;sea;1519;-1;-1;-1;-1;Curacao-Coro
2807;830;sea;1519;-1;-1;-1;-1;Altagracia-Maracaibo
134;7672;sea;8355;-1;-1;-1;-1;Wein-Donaustadt
-1;-1;;-1;-1;-1;-1;-1;-1;
